date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;Sonstige;Befragte;Zeitraum;Institut
19.11.2019;29,5 %;14,0 %;21,5 %;7,5 %;8,0 %;14,5 %;5,0 %;1.298;02.11.–13.11.;allensbach
16.10.2019;29,5 %;16,0 %;23,5 %;6,5 %;7,0 %;13,0 %;4,5 %;1.238;27.09.–10.10.;allensbach
17.09.2019;29,0 %;15,0 %;22,0 %;7,0 %;8,0 %;14,0 %;5,0 %;1.255;01.09.–12.09.;allensbach
21.08.2019;29,5 %;13,5 %;24,0 %;7,0 %;8,0 %;12,5 %;5,5 %;1.262;02.08.–15.08.;allensbach
24.07.2019;29,5 %;14,5 %;23,0 %;7,0 %;8,5 %;11,5 %;6,0 %;1.228;01.07.–11.07.;allensbach
21.06.2019;29,0 %;12,0 %;25,0 %;8,0 %;8,0 %;12,0 %;6,0 %;1.273;01.06.–12.06.;allensbach
23.05.2019;30,0 %;17,5 %;17,0 %;9,0 %;8,5 %;13,0 %;5,0 %;1.283;03.05.–16.05.;allensbach
18.04.2019;30,0 %;18,5 %;18,0 %;9,0 %;8,0 %;12,5 %;4,0 %;1.305;01.04.–12.04.;allensbach
27.03.2019;30,0 %;18,0 %;19,0 %;8,5 %;8,5 %;12,0 %;4,0 %;1.198;07.03.–21.03.;allensbach
19.02.2019;30,0 %;18,0 %;18,5 %;8,0 %;8,0 %;13,5 %;4,0 %;1.222;01.02.–13.02.;allensbach
23.01.2019;31,5 %;16,5 %;18,0 %;8,5 %;8,5 %;13,0 %;4,0 %;1.249;05.01.–17.01.;allensbach
20.12.2018;29,0 %;16,5 %;19,0 %;8,5 %;9,0 %;14,0 %;4,0 %;1.295;01.12.–12.12.;allensbach
30.11.2018;28,0 %;17,0 %;19,0 %;9,5 %;9,0 %;13,5 %;4,0 %;1.242;02.11.–15.11.;allensbach
18.10.2018;29,0 %;19,0 %;15,0 %;8,5 %;9,0 %;15,0 %;4,5 %;1.259;28.09.–11.10.;allensbach
18.09.2018;31,5 %;19,5 %;12,5 %;8,5 %;9,0 %;15,0 %;4,0 %;1.258;01.09.–13.09.;allensbach
15.08.2018;31,0 %;20,0 %;12,5 %;9,0 %;9,0 %;14,5 %;4,0 %;1.295;27.07.–09.08.;allensbach
17.07.2018;30,5 %;20,0 %;12,0 %;9,5 %;9,0 %;15,0 %;4,0 %;1.295;01.07.–12.07.;allensbach
20.06.2018;33,0 %;21,0 %;11,0 %;9,5 %;9,5 %;13,0 %;3,0 %;1.279;01.06.–13.06.;allensbach
17.05.2018;34,0 %;20,0 %;11,0 %;9,0 %;10,0 %;11,5 %;4,5 %;1.253;24.04.–08.05.;allensbach
25.04.2018;34,0 %;20,5 %;11,0 %;10,0 %;9,0 %;12,0 %;3,5 %;1.279;03.04.–17.04.;allensbach
21.03.2018;34,0 %;19,0 %;11,0 %;10,0 %;10,0 %;12,5 %;3,5 %;1.256;02.03.–15.03.;allensbach
23.02.2018;32,0 %;17,5 %;12,0 %;11,0 %;9,5 %;13,0 %;5,0 %;1.271;02.02.–15.02.;allensbach
25.01.2018;34,0 %;21,0 %;10,5 %;10,0 %;8,5 %;12,0 %;4,0 %;1.221;05.01.–18.01.;allensbach
21.12.2017;34,0 %;21,0 %;11,5 %;10,0 %;9,0 %;11,0 %;3,5 %;1.443;01.12.–14.12.;allensbach
30.11.2017;33,0 %;21,5 %;11,0 %;10,0 %;9,0 %;11,0 %;4,5 %;1.299;22.11.–27.11.;allensbach
25.10.2017;33,0 %;20,5 %;9,5 %;12,0 %;9,0 %;12,0 %;4,0 %;1.454;07.10.–19.10.;allensbach
