date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;Sonstige;Befragte;Zeitraum;Institut
14.12.2019;28 %;16 %;20 %;9 %;9 %;13 %;5 %;1.978;05.12.–11.12.;emnid
07.12.2019;28 %;16 %;20 %;9 %;8 %;13 %;6 %;1.876;28.11.–04.12.;emnid
30.11.2019;28 %;15 %;20 %;8 %;9 %;14 %;6 %;1.910;20.11.–27.11.;emnid
23.11.2019;28 %;15 %;20 %;9 %;9 %;13 %;6 %;1.905;13.11.–20.11.;emnid
16.11.2019;27 %;17 %;18 %;8 %;10 %;14 %;6 %;1.525;07.11.–13.11.;emnid
09.11.2019;26 %;16 %;18 %;10 %;10 %;14 %;6 %;1.431;30.10.–06.11.;emnid
02.11.2019;27 %;16 %;18 %;9 %;9 %;15 %;6 %;1.920;24.10.–30.10.;emnid
26.10.2019;29 %;15 %;20 %;8 %;9 %;14 %;5 %;1.441;17.10.–23.10.;emnid
19.10.2019;29 %;15 %;20 %;7 %;9 %;13 %;7 %;1.444;10.10.–16.10.;emnid
12.10.2019;28 %;14 %;21 %;7 %;8 %;15 %;7 %;1.916;02.10.–09.10.;emnid
05.10.2019;27 %;15 %;21 %;8 %;8 %;15 %;6 %;1.449;26.09.–01.10.;emnid
28.09.2019;27 %;16 %;21 %;7 %;8 %;15 %;6 %;1.719;19.09.–25.09.;emnid
21.09.2019;29 %;15 %;21 %;8 %;8 %;14 %;5 %;1.639;12.09.–18.09.;emnid
14.09.2019;28 %;16 %;21 %;8 %;7 %;15 %;5 %;2.835;05.09.–11.09.;emnid
07.09.2019;29 %;16 %;21 %;7 %;8 %;14 %;5 %;1.884;29.08.–04.09.;emnid
31.08.2019;29 %;15 %;22 %;7 %;7 %;14 %;6 %;1.434;22.08.–28.08.;emnid
24.08.2019;27 %;15 %;23 %;8 %;8 %;14 %;5 %;1.555;15.08.–21.08.;emnid
17.08.2019;27 %;14 %;22 %;8 %;9 %;14 %;6 %;1.897;08.08.–14.08.;emnid
10.08.2019;26 %;14 %;22 %;9 %;9 %;14 %;6 %;2.388;01.08.–07.08.;emnid
03.08.2019;26 %;13 %;23 %;9 %;8 %;14 %;7 %;1.419;25.07.–31.07.;emnid
27.07.2019;26 %;14 %;23 %;9 %;8 %;13 %;7 %;1.520;18.07.–24.07.;emnid
20.07.2019;27 %;14 %;22 %;9 %;9 %;13 %;6 %;1.908;11.07.–17.07.;emnid
13.07.2019;26 %;15 %;24 %;8 %;9 %;13 %;5 %;2.377;04.07.–10.07.;emnid
06.07.2019;26 %;13 %;24 %;7 %;9 %;14 %;7 %;2.389;27.06.–03.07.;emnid
29.06.2019;26 %;13 %;25 %;8 %;8 %;14 %;6 %;1.906;21.06.–26.06.;emnid
22.06.2019;27 %;12 %;25 %;7 %;8 %;14 %;7 %;1.910;13.06.–18.06.;emnid
15.06.2019;25 %;12 %;27 %;8 %;8 %;13 %;7 %;2.377;06.06.–12.06.;emnid
08.06.2019;27 %;12 %;27 %;8 %;7 %;12 %;7 %;1.903;29.05.–05.06.;emnid
01.06.2019;28 %;16 %;20 %;8 %;8 %;13 %;7 %;1.413;23.05.–28.05.;emnid
25.05.2019;29 %;17 %;17 %;9 %;9 %;13 %;6 %;1.895;16.05.–22.05.;emnid
18.05.2019;29 %;16 %;18 %;9 %;9 %;13 %;6 %;1.975;09.05.–15.05.;emnid
11.05.2019;29 %;16 %;19 %;9 %;9 %;13 %;5 %;2.393;02.05.–08.05.;emnid
04.05.2019;28 %;17 %;19 %;9 %;9 %;13 %;5 %;1.903;25.04.–30.04.;emnid
27.04.2019;28 %;17 %;18 %;9 %;10 %;13 %;5 %;1.433;18.04.–24.04.;emnid
20.04.2019;28 %;18 %;19 %;8 %;9 %;13 %;5 %;2.709;11.04.–17.04.;emnid
13.04.2019;30 %;17 %;17 %;9 %;9 %;12 %;6 %;2.559;04.04.–10.04.;emnid
06.04.2019;31 %;17 %;18 %;8 %;9 %;12 %;5 %;2.335;28.03.–03.04.;emnid
30.03.2019;30 %;16 %;17 %;9 %;9 %;13 %;6 %;2.361;21.03.–27.03.;emnid
23.03.2019;31 %;17 %;17 %;8 %;8 %;14 %;5 %;1.518;14.03.–20.03.;emnid
16.03.2019;31 %;16 %;17 %;8 %;9 %;13 %;6 %;1.904;07.03.–13.03.;emnid
09.03.2019;31 %;17 %;16 %;8 %;9 %;14 %;5 %;1.906;28.02.–06.03.;emnid
02.03.2019;29 %;18 %;16 %;8 %;10 %;14 %;5 %;1.420;21.02.–27.02.;emnid
23.02.2019;29 %;19 %;16 %;9 %;9 %;13 %;5 %;1.511;14.02.–20.02.;emnid
16.02.2019;30 %;19 %;15 %;8 %;10 %;13 %;5 %;1.891;07.02.–13.02.;emnid
09.02.2019;30 %;17 %;17 %;9 %;9 %;13 %;5 %;1.900;31.01.–06.02.;emnid
02.02.2019;29 %;16 %;18 %;10 %;8 %;15 %;4 %;1.434;24.01.–30.01.;emnid
26.01.2019;29 %;16 %;19 %;9 %;9 %;14 %;4 %;2.017;17.01.–23.01.;emnid
19.01.2019;30 %;15 %;18 %;8 %;9 %;14 %;6 %;1.448;10.01.–16.01.;emnid
12.01.2019;31 %;15 %;18 %;8 %;9 %;14 %;5 %;1.964;03.01.–09.01.;emnid
22.12.2018;29 %;15 %;19 %;9 %;9 %;14 %;5 %;1.889;13.12.–19.12.;emnid
15.12.2018;30 %;15 %;20 %;8 %;8 %;14 %;5 %;1.997;06.12.–12.12.;emnid
08.12.2018;29 %;15 %;19 %;9 %;9 %;14 %;5 %;2.469;29.11.–05.12.;emnid
01.12.2018;28 %;15 %;19 %;9 %;9 %;15 %;5 %;1.531;22.11.–28.11.;emnid
24.11.2018;26 %;15 %;21 %;9 %;9 %;15 %;5 %;2.361;15.11.–21.11.;emnid
17.11.2018;26 %;15 %;21 %;8 %;9 %;15 %;6 %;1.987;08.11.–14.11.;emnid
