date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;PIRATEN;FW;AfD;Sonstige;Befragte;Zeitraum;Institut
03.12.2019;27 %;14 %;21 %;9 %;8 %;–;–;15 %;6 %;T • 1.004;27.11.–02.12.;gms
08.10.2019;27 %;14 %;22 %;8 %;7 %;–;–;15 %;7 %;T • 1.002;01.10.–07.10.;gms
13.09.2019;27 %;16 %;23 %;7 %;8 %;–;–;12 %;7 %;T • 1.005;06.09.–12.09.;gms
23.07.2019;28 %;13 %;25 %;8 %;8 %;–;–;12 %;6 %;T • 1.002;17.07.–22.06.;gms
25.06.2019;26 %;13 %;26 %;8 %;8 %;–;–;13 %;6 %;T • 1.004;18.06.–24.06.;gms
09.05.2019;29 %;17 %;19 %;8 %;9 %;–;–;13 %;5 %;T • 1.006;02.05.–08.05.;gms
04.04.2019;30 %;15 %;18 %;10 %;9 %;–;–;13 %;5 %;T • 1.003;28.03.–03.04.;gms
28.02.2019;31 %;16 %;18 %;9 %;9 %;–;–;14 %;3 %;T • 1.005;21.02.–27.02.;gms
24.01.2019;31 %;14 %;19 %;10 %;9 %;–;–;13 %;4 %;T • 1.003;16.01.–23.01.;gms
13.12.2018;30 %;14 %;19 %;9 %;9 %;–;–;15 %;4 %;T • 1.005;06.12.–12.12.;gms
11.10.2018;27 %;15 %;16 %;10 %;10 %;–;–;18 %;4 %;T • 1.007;04.10.–10.10.;gms
27.09.2018;27 %;16 %;15 %;9 %;10 %;–;–;18 %;5 %;T • 1.005;20.09.–26.09.;gms
11.09.2018;29 %;17 %;14 %;9 %;9 %;–;–;16 %;6 %;T • 1.003;04.09.–10.09.;gms
01.08.2018;30 %;17 %;13 %;10 %;10 %;–;–;16 %;4 %;T • 1.005;25.07.–31.07.;gms
12.07.2018;30 %;17 %;12 %;9 %;10 %;–;–;17 %;5 %;T • 1.006;05.07.–11.07.;gms
17.05.2018;34 %;16 %;12 %;9 %;10 %;–;–;14 %;5 %;T • 1.003;11.05.–16.05.;gms
27.04.2018;33 %;17 %;12 %;9 %;11 %;–;–;13 %;5 %;T • 1.005;20.04.–26.04.;gms
22.03.2018;33 %;18 %;11 %;10 %;10 %;–;–;13 %;5 %;T • 1.003;16.03.–21.03.;gms
08.02.2018;32 %;18 %;13 %;9 %;9 %;–;–;14 %;5 %;T • 1.007;01.02.–07.02.;gms
