date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;PIRATEN;FW;AfD;Sonstige;Befragte;Zeitraum;Institut
16.12.2019;27 %;13 %;21 %;8,5 %;9,5 %;–;–;15 %;6 %;O • 2.020;13.12.–16.12.;insa
09.12.2019;28 %;14 %;20,5 %;8,5 %;8,5 %;–;–;15 %;5,5 %;O • 2.052;06.12.–09.12.;insa
02.12.2019;26,5 %;13,5 %;21,5 %;8,5 %;9 %;–;–;15 %;6 %;O • 2.060;29.11.–02.12.;insa
26.11.2019;26,5 %;14,5 %;22 %;8,5 %;9,5 %;–;–;14 %;5 %;O • 2.069;22.11.–25.11.;insa
18.11.2019;25 %;15,5 %;21 %;8,5 %;10 %;–;–;15 %;5 %;O • 4.115;15.11.–18.11.;insa
12.11.2019;25,5 %;15,5 %;20,5 %;8 %;9,5 %;–;–;15 %;6 %;O • 2.096;08.11.–11.11.;insa
04.11.2019;25,5 %;13,5 %;21 %;8 %;10 %;–;–;16 %;6 %;O • 2.047;01.11.–04.11.;insa
29.10.2019;26 %;13,5 %;23 %;7,5 %;9 %;–;–;15,5 %;5,5 %;O • 2.042;25.10.–28.10.;insa
22.10.2019;27 %;13,5 %;22,5 %;7,5 %;9 %;–;–;15 %;5,5 %;O • 2.041;18.10.–21.10.;insa
15.10.2019;28 %;14 %;21,5 %;7,5 %;8 %;–;–;15 %;6 %;O • 2.052;11.10.–14.10.;insa
08.10.2019;27 %;13 %;21 %;8,5 %;9 %;–;–;16 %;5,5 %;O • 2.059;04.10.–07.10.;insa
30.09.2019;26,5 %;13 %;22 %;8 %;8 %;–;–;16 %;6,5 %;O • 2.058;27.09.–30.09.;insa
23.09.2019;26 %;14 %;22 %;8 %;8 %;–;–;16 %;6 %;O • 2.052;20.09.–23.09.;insa
16.09.2019;26,5 %;13,5 %;22,5 %;7,5 %;7,5 %;–;–;16 %;6,5 %;O • 2.053;13.09.–16.09.;insa
10.09.2019;27 %;13,5 %;22 %;8 %;7,5 %;–;–;15,5 %;6,5 %;O • 2.033;06.09.–09.09.;insa
02.09.2019;26 %;14,5 %;23,5 %;8,5 %;7 %;–;–;15 %;5,5 %;O • 2.017;30.08.–02.09.;insa
26.08.2019;26 %;13 %;24 %;8 %;8 %;–;–;15 %;6 %;O • 2.058;23.08.–26.08.;insa
