date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;Sonstige;Befragte;Zeitraum;Institut
13.12.2019;27 %;13 %;23 %;8 %;9 %;14 %;6 %;1.366;10.12.–12.12.;politbarometer
29.11.2019;27 %;13 %;23 %;7 %;10 %;14 %;6 %;1.340;26.11.–28.11.;politbarometer
08.11.2019;27 %;14 %;22 %;7 %;10 %;14 %;6 %;1.264;05.11.–07.11.;politbarometer
18.10.2019;29 %;14 %;24 %;6 %;8 %;13 %;6 %;1.226;15.10.–17.10.;politbarometer
27.09.2019;27 %;13 %;27 %;6 %;7 %;14 %;6 %;1.325;24.09.–26.09.;politbarometer
05.09.2019;28 %;15 %;24 %;6 %;7 %;13 %;7 %;1.270;02.09.–04.09.;politbarometer
09.08.2019;28 %;13 %;25 %;7 %;7 %;13 %;7 %;1.307;06.08.–08.08.;politbarometer
19.07.2019;28 %;13 %;25 %;8 %;8 %;12 % ;6 %;1.290;16.07.–18.07.;politbarometer
21.06.2019;27 %;14 %;26 %;7 %;7 %;13 % ;6 %;1.291;17.06.–19.06.;politbarometer
06.06.2019;27 %;13 %;26 %;7 %;7 %;13 % ;7 %;1.297;03.06.–05.06.;politbarometer
10.05.2019;30 %;16 %;20 %;7 %;8 %;14 % ;5 %;1.357;07.05.–09.05.;politbarometer
12.04.2019;28 %;17 %;20 %;8 %;9 %;13 % ;5 %;1.282;09.04.–11.04.;politbarometer
28.03.2019;30 %;15 %;19 %;9 %;9 %;13 % ;5 %;1.325;25.03.–27.03.;politbarometer
15.03.2019;31 %;16 %;19 %;8 %;8 %;12 % ;6 %;1.290;12.03.–14.03.;politbarometer
22.02.2019;31 %;15 %;20 %;7 %;9 %;13 % ;5 %;1.266;19.02.–21.02.;politbarometer
08.02.2019;30 %;16 %;20 %;8 %;9 %;12 % ;5 %;1.350;05.02.–07.02.;politbarometer
25.01.2019;31 %;14 %;20 %;8 %;9 %;13 % ;5 %;1.285;22.01.–24.01.;politbarometer
11.01.2019;29 %;14 %;21 %;8 %;9 %;14 % ;5 %;1.267;08.01.–10.01.;politbarometer
14.12.2018;30 %;15 %;19 %;7 %;9 %;15 % ;5 %;1.268;11.12.–13.12.;politbarometer
23.11.2018;27 %;14 %;22 %;8 %;9 %;16 % ;4 %;1.336;20.11.–22.11.;politbarometer
09.11.2018;27 %;14 %;22 %;9 %;9 %;14 % ;5 %;1.200;06.11.–08.11.;politbarometer
19.10.2018;27 %;14 %;20 %;8 %;10 %;16 % ;5 %;1.117;16.10.–18.10.;politbarometer
28.09.2018;28 %;17 %;17 %;8 %;10 %;16 % ;4 %;1.260;25.09.–27.09.;politbarometer
14.09.2018;30 %;20 %;16 %;7 %;8 %;15 % ;4 %;1.339;11.09.–13.09.;politbarometer
31.08.2018;31 %;18 %;14 %;8 %;8 %;17 % ;4 %;1.216;28.08.–30.08.;politbarometer
10.08.2018;31 %;18 %;15 %;8 %;9 %;16 % ;3 %;1.294;07.08.–09.08.;politbarometer
13.07.2018;31 %;18 %;14 %;7 %;11 %;15 % ;4 %;1.340;09.07.–12.07.;politbarometer
29.06.2018;32 %;18 %;14 %;9 %;10 %;14 % ;3 %;1.290;25.06.–28.06.;politbarometer
08.06.2018;33 %;20 %;13 %;8 %;10 %;13 % ;3 %;1.284;05.06.–07.06.;politbarometer
18.05.2018;34 %;20 %;12 %;8 %;9 %;14 % ;3 %;1.200;15.05.–17.05.;politbarometer
27.04.2018;34 %;20 %;13 %;7 %;10 %;13 % ;3 %;1.285;24.04.–26.04.;politbarometer
13.04.2018;33 %;19 %;14 %;8 %;9 %;13 % ;4 %;1.159;10.04.–12.04.;politbarometer
16.03.2018;32 %;19 %;12 %;9 %;11 %;13 % ;4 %;1.214;13.03.–15.03.;politbarometer
23.02.2018;33 %;17 %;12 %;8 %;11 %;14 % ;5 %;1.360;20.02.–22.02.;politbarometer
02.02.2018;31 %;19 %;14 %;7 %;11 %;14 % ;4 %;1.302;30.01.–01.02.;politbarometer
19.01.2018;33 %;20 %;12 %;8 %;10 %;12 % ;5 %;1.332;16.01.–18.01.;politbarometer
08.12.2017;32 %;23 %;12 %;8 %;9 %;12 % ;4 %;1.353;05.12.–07.12.;politbarometer
17.11.2017;33 %;21 %;12 %;10 %;9 %;11 % ;4 %;1.303;14.11.–16.11.;politbarometer
27.10.2017;33 %;21 %;11 %;10 %;9 %;12 % ;4 %;1.325;24.10.–26.10.;politbarometer
13.10.2017;31 %;21 %;11 %;11 %;10 %;12 % ;4 %;1.180;10.10.–12.10.;politbarometer
29.09.2017;32 %;21 %;11 %;10 %;10 %;12 % ;4 %;1.425;26.09.–28.09.;politbarometer
