date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;Sonstige;Befragte;Zeitraum;Institut
27.11.2019;26 %;13 %;22 %;7 %;10 %;15 %;7 %;O • 1.648;22.11.–26.11.;yougov
06.11.2019;27 %;13 %;22 %;7 %;10 %;14 %;7 %;O • 1.583;31.10.–05.11.;yougov
03.10.2019;26 %;13 %;22 %;8 %;8 %;15 %;8 %;O • 1.573;27.09.–01.10.;yougov
11.09.2019;27 %;15 %;22 %;6 %;8 %;14 %;8 %;O • 1.632;06.09.–10.09.;yougov
31.07.2019;26 %;13 %;24 %;8 %;8 %;14 %;7 %;O • 1.594;26.07.–29.07.;yougov
03.07.2019;26 %;13 %;25 %;7 %;8 %;13 %;8 %;O • 1.644;28.06.–02.07.;yougov
23.05.2019;29 %;18 %;18 %;8 %;9 %;12 %;6 %;O • 1.609;17.05.–21.05.;yougov
03.05.2019;29 %;18 %;17 %;9 %;9 %;13 %;5 %;O • 1.642;26.04.–29.04.;yougov
28.03.2019;30 %;18 %;17 %;9 %;9 %;12 %;5 %;O • 1.633;22.03.–26.03.;yougov
27.02.2019;30 %;18 %;17 %;9 %;9 %;13 %;4 %;O • 1.620;22.02.–26.02.;yougov
31.01.2019;32 %;15 %;18 %;8 %;9 %;14 %;4 %;O • 1.578;25.01.–29.01.;yougov
28.12.2018;30 %;16 %;18 %;8 %;10 %;14 %;4 %;O • 1.665;21.12.–27.12.;yougov
28.11.2018;27 %;15 %;21 %;9 %;10 %;14 %;4 %;O • 1.580;23.11.–27.11.;yougov
07.11.2018;25 %;14 %;21 %;10 %;10 %;16 %;4 %;O • 1.542;28.10.–04.11.;yougov
27.09.2018;27 %;17 %;14 %;9 %;11 %;18 %;4 %;O • 1.504;21.09.–25.09.;yougov
30.08.2018;28 %;17 %;13 %;9 %;11 %;17 %;5 %;O • 1.538;24.08.–28.08.;yougov
25.07.2018;30 %;17 %;12 %;9 %;11 %;17 %;4 %;O • 1.520;20.07.–24.07.;yougov
27.06.2018;30 %;17 %;12 %;10 %;11 %;16 %;4 %;O • 1.525;22.06.–26.06.;yougov
30.05.2018;33 %;17 %;11 %;9 %;11 %;16 %;3 %;O • 1.556;25.05.–29.05.;yougov
25.04.2018;32 %;18 %;12 %;9 %;10 %;15 %;4 %;O • 1.573;20.04.–24.04.;yougov
28.03.2018;34 %;17 %;11 %;8 %;11 %;15 %;4 %;O • 1.579;23.03.–27.03.;yougov
28.02.2018;32 %;16 %;12 %;8 %;12 %;16 %;4 %;O • 1.585;26.02.–28.02.;yougov
25.01.2018;34 %;19 %;10 %;8 %;11 %;14 %;4 %;O • 1.566;19.01.–23.01.;yougov
28.12.2017;33 %;21 %;10 %;9 %;10 %;13 %;4 %;O • 1.489;25.12.–27.12.;yougov
29.11.2017;32 %;21 %;10 %;9 %;10 %;13 %;5 %;O • 1.570;24.11.–28.11.;yougov
21.09.2017;36 %;23 %;7 %;9 %;10 %;10 %;5 %;O • 1.862;15.09.–19.09.;yougov
13.09.2017;36 %;23 %;8 %;9 %;10 %;10 %;4 %;O • 1.600;08.09.–12.09.;yougov
06.09.2017;34 %;24 %;7 %;9 %;9 %;11 %;6 %;O • 1.617;04.09.–06.09.;yougov
30.08.2017;36 %;25 %;7 %;7 %;10 %;10 %;5 %;O • 1.557;25.08.–29.08.;yougov
24.08.2017;37 %;25 %;7 %;8 %;9 %;9 %;5 %;O • 1.520;18.08.–22.08.;yougov
16.08.2017;37 %;25 %;7 %;9 %;9 %;9 %;4 %;O • 1.538;11.08.–15.08.;yougov
10.08.2017;38 %;24 %;6 %;9 %;9 %;9 %;5 %;O • 1.513;04.08.–08.08.;yougov
03.08.2017;37 %;25 %;7 %;9 %;9 %;8 %;5 %;O • 2.000;28.07.–01.08.;yougov
27.07.2017;38 %;25 %;7 %;9 %;9 %;8 %;4 %;O • 2.000;21.07.–25.07.;yougov
12.07.2017;38 %;24 %;8 %;9 %;9 %;8 %;4 %;O • 1.535;10.07.–12.07.;yougov
29.06.2017;38 %;25 %;8 %;8 %;9 %;8 %;4 %;O • 2.000;26.06.–28.06.;yougov
23.06.2017;36 %;25 %;8 %;9 %;10 %;7 %;5 %;O • 1.523;19.06.–22.06.;yougov
02.06.2017;37 %;23 %;8 %;9 %;10 %;9 %;4 %;O • 2.040;29.05.–31.05.;yougov
19.05.2017;38 %;25 %;7 %;9 %;9 %;9 %;3 %;O • 2.000;15.05.–17.05.;yougov
12.05.2017;37 %;25 %;7 %;9 %;8 %;9 %;5 %;O • 2.010;08.05.–11.05.;yougov
05.05.2017;35 %;28 %;7 %;7 %;9 %;9 %;5 %;O • 1.957;27.04.–02.05.;yougov
